Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,282.070007,284.100006,279.459991,280.750000,280.213562,26186800
2021-07-19,278.929993,280.369995,274.450012,277.010010,276.480713,32935600
2021-07-20,278.029999,280.970001,276.260010,279.320007,278.786285,26259700
2021-07-21,278.899994,281.519989,277.290009,281.399994,280.862305,24364300
2021-07-22,283.839996,286.420013,283.420013,286.140015,285.593262,23384100
2021-07-23,287.369995,289.989990,286.500000,289.670013,289.116516,22768100
2021-07-26,289.000000,289.690002,286.640015,289.049988,288.497681,23176100
2021-07-27,289.429993,289.579987,282.950012,286.540009,285.992493,33604100
2021-07-28,288.989990,290.149994,283.829987,286.220001,285.673096,33566900
2021-07-29,286.239990,288.619995,286.079987,286.500000,285.952576,18168300
2021-07-30,285.170013,286.660004,283.910004,284.910004,284.365601,20940900
2021-08-02,286.359985,286.769989,283.739990,284.820007,284.275787,16267400
2021-08-03,285.420013,287.230011,284.000000,287.119995,286.571381,17879000
2021-08-04,286.220001,287.589996,284.649994,286.510010,285.962555,16191300
2021-08-05,286.880005,289.630005,286.100006,289.519989,288.966797,13900200
2021-08-06,288.510010,289.500000,287.619995,289.459991,288.906921,16585200
2021-08-09,289.750000,291.549988,287.809998,288.329987,287.779053,16117600
2021-08-10,288.799988,289.250000,285.200012,286.440002,285.892700,18616600
2021-08-11,287.209991,288.660004,285.859985,286.950012,286.401733,13955900
2021-08-12,286.630005,289.970001,286.339996,289.809998,289.256256,14561300
2021-08-13,289.480011,292.899994,289.299988,292.850006,292.290436,18231400
2021-08-16,293.190002,294.820007,290.019989,294.600006,294.037109,22507600
2021-08-17,292.390015,293.429993,291.079987,293.079987,292.519989,20075300
2021-08-18,292.040009,294.820007,290.269989,290.730011,290.730011,21813000
2021-08-19,288.690002,297.470001,288.640015,296.769989,296.769989,29850500
2021-08-20,299.720001,305.839996,298.059998,304.359985,304.359985,40796100
2021-08-23,303.250000,305.399994,301.850006,304.649994,304.649994,22830200
2021-08-24,305.019989,305.649994,302.000000,302.619995,302.619995,18175800
2021-08-25,304.299988,304.589996,300.420013,302.010010,302.010010,20006100
2021-08-26,300.989990,302.429993,298.950012,299.089996,299.089996,17666100
2021-08-27,298.989990,300.869995,296.829987,299.720001,299.720001,22597000
2021-08-30,301.119995,304.220001,301.059998,303.589996,303.589996,16348100
2021-08-31,304.420013,304.420013,301.510010,301.880005,301.880005,23556768
